Input.victimID,Answer.Q1Url
1176,http://members.jacksonville.com/news/crime/2013-01-03/story/clay-couple-murder-suicide-were-nearing-break#ixzz2RoqozAtD
1364,http://usgunviolence.wordpress.com/2013/01/24/dead-shawn-patrick-oelker-clearwater-fl/
3363,http://www.wvva.com/story/21824155/2013/03/28/police-investigate-shooting-in-brushfork
1367,http://www.wtsp.com/news/article/293785/8/Cops-Pedro-Mendoza-shoots-estranged-wife-Deanna-outside-Town-N-Country-home-turns-gun-on-himself
1370,http://www.dailymail.co.uk/news/article-2269601/Husband-murders-wife-shoots-dead-day-court-date-finalize-divorce.html
7744,http://articles.mcall.com/2013-07-30/news/mc-d-pa-wounded-veteran-murder-suicide-robert-kisl-20130730_1_fiancee-afghanistan-war-michael-steckel
3376,http://www.foxcarolina.com/story/21889412/suspect-accused-of-killing-greenville-man-in-jail
1398,http://triblive.com/news/adminpage/3368524-74/burello-kummer-police
4937,http://m.bransontrilakesnews.com/mobile/news_free/article_7514c6fa-8b5e-11e2-bed3-0019bb2963f4.html
3508,http://www.tribune-democrat.com/local/x1340802690/In-brief-Man-kills-himself-after-car-chase-police-say
1429,http://southgate-lynwood.patch.com/groups/police-and-fire/p/authorities-identify-carjacking-suspect-who-shot-himself
4955,http://www.wset.com/story/22096183/man-killed-at-party-in-gladys-suspect-charged-with-murder
1448,http://ktla.com/2013/01/31/doctor-shot-killed-at-newport-beach-medical-office/
5027,http://seattletimes.com/html/localnews/2021315514_drivebysuspectxml.html
3587,http://www.jrn.com/kgun9/news/good-morning-tucson/201568491.html
3591,http://www.app.com/article/20130408/NJNEWS14/304080072/
3611,http://www.courier-journal.com/article/20130410/NEWS01/304100109/
3612,http://articles.wdbj7.com/2013-06-21/robert-kevin-hughes_40124565
1484,http://philadelphia.cbslocal.com/2013/05/07/new-york-man-charged-with-2012-double-murder-in-philadelphia/
3635,http://www.ajc.com/news/news/local/slain-maybach-driver-identified-as-james-d-lewiel-/nXMXJ/
3668,http://articles.philly.com/2013-04-28/news/38863908_1_gun-eighth-street-two-shootings
3694,http://www.thesylvaherald.com/top_stories/article_1b923df6-a607-11e2-b749-001a4bcf6878.html
3786,http://www.boston.com/yourtown/news/roxbury/2013/04/authorities_id_man_shot_to_dea.html
5295,http://www.huffingtonpost.com/2013/06/11/justin-stanfield-thomas-shooting-4-year-old-kills-father-arizona_n_3420573.html
3818,http://www.stamfordadvocate.com/policereports/article/3rd-shooting-victim-found-in-homicide-probe-4453295.php
3835,http://ksisradio.com/warrensburg-police-shoot-and-kill-armed-suspect-while-serving-search-warrant/
3837,http://www.abc15.com/dpp/news/region_phoenix_metro/central_phoenix/police-identify-22-year-old-shot-killed-by-officers-at-phoenix-apartment-complex
5383,http://www.wgal.com/news/susquehanna-valley/lancaster/police-incident-closes-part-of-lancaster-street/-/9704306/20495662/-/7n532a/-/index.html
3850,http://minnesota.cbslocal.com/2013/04/24/charges-shakopee-hs-student-shot-killed-in-drug-deal/
3856,http://articles.chicagotribune.com/2013-04-23/news/chi-chicago-shootings-violence-cornelius-german-among-9-shot-20130423_1_four-men-23-year-old-man-dice-game
7783,http://www.superiortelegram.com/event/article/id/274819/publisher_ID/36/
5418,http://www.hickoryrecord.com/news/article_a06d08a0-cfa9-11e2-b50d-001a4bcf6878.html
1602,http://www.wbtv.com/story/21110854/police-duo-arrested-for-murder-lured-tried-to-rob-victim
1608,http://www.nwitimes.com/news/local/lake/gary/nd-man-dies-after-hitchhiker-shoots-pair-in-head-in/article_df833a11-e4c0-53b2-b606-0d77f7e1bd48.html
3935,http://articles.herald-mail.com/2013-09-04/news/41810794_1_steven-andrew-o-brien-cory-antonio-usher-usher-and-gonzalez
7817,http://www.abc22now.com/template/cgi-bin/archived.pl?type=basic&file=/shared/news/top-stories/stories/archive/2013/08/Un3J7rj1.xml
1626,http://www.lmtonline.com/articles/2013/02/02/front/news/doc5106da1b1d24d808332954.txt
7826,http://www.wthr.com/story/23090138/2013/08/09/police-action-shooting-on-southside
1627,http://www.kansas.com/2013/09/19/3010012/judge-sentences-two-juveniles.html
1639,http://www.mercurynews.com/news/ci_22489888/2-women-1-man-shot-and-killed-ventura
5499,http://www.wpxi.com/news/news/local/3-bodies-discovered-inside-north-huntingdon-home/nXQ5W/
1663,http://www.myfoxchicago.com/story/20932290/woman-found-dead-shot-multiple-times-on-lake-shore-drive
1666,http://www.12newsnow.com/story/20933948/investigators-seek-answers-in-hardin-county-shooting-death
5507,http://pittsburgh.cbslocal.com/2013/04/27/uniontown-soldier-killed-at-n-c-party/
1675,http://www.dailymail.co.uk/news/article-2270498/Chilling-final-words-cancer-victim-Charlotte-Jones-shot-Michigan-police-station.html
3978,http://wgnsradio.com/arrested-gold-valley-murder-suspect--cms-12673
1682,http://www.huffingtonpost.com/2013/02/03/conrad-bishop-shot-wake-nj-funeral-dead_n_2610281.html
7903,http://www.dailymail.co.uk/news/article-2350708/Andrew-Cain-19-commits-suicide-sarcastic-Facebook-message-posted-sheriffs-office.html
5538,http://www.lakegenevanews.net/Articles-County-Report-i-2013-06-13-250169.114135-Walworth-County-deputies-shoot-kill-suspect-following-vicious-assault.html
3981,http://www.wspa.com/story/22100482/pickens-county
5545,http://www.wgal.com/news/susquehanna-valley/lancaster/man-shot-in-vehicle-in-lancaster-city/-/9704306/20548364/-/4frd80z/-/index.html
4002,http://www.wwaytv3.com/2013/04/28/deputies-make-arrest-weekend-murder
5551,http://abclocal.go.com/kgo/story?id=9138091
